iter	Passed	Remaining
816	15143	1297
817	15162	1278
818	15181	1260
819	15199	1241
820	15218	1223
821	15236	1204
822	15255	1186
823	15274	1167
824	15293	1149
825	15311	1130
826	15329	1112
827	15348	1093
828	15366	1075
829	15384	1056
830	15402	1037
831	15421	1019
832	15439	1000
833	15458	982
834	15476	963
835	15496	945
836	15513	926
837	15531	908
838	15550	889
839	15567	871
840	15586	852
841	15604	833
842	15623	815
843	15641	796
844	15660	778
845	15677	759
846	15695	741
847	15713	722
848	15732	704
849	15751	685
850	15769	667
851	15786	648
852	15805	629
853	15823	611
854	15842	592
855	15859	574
856	15877	555
857	15897	537
858	15916	518
859	15934	500
860	15953	481
861	15971	463
862	15989	444
863	16006	426
864	16025	407
865	16043	389
866	16061	370
867	16080	351
868	16098	333
869	16116	314
870	16135	296
871	16153	277
872	16171	259
873	16190	240
874	16208	222
875	16225	203
876	16244	185
877	16261	166
878	16280	148
879	16297	129
880	16316	111
881	16335	92
882	16354	74
883	16372	55
884	16389	37
885	16407	18
886	16426	0
