iter	RMSE
286	1.64642114
287	1.646021478
288	1.645251219
289	1.644655481
290	1.643797198
291	1.642763455
292	1.642357355
293	1.641771017
294	1.64126649
295	1.64092098
296	1.640102492
297	1.639481147
298	1.63903071
299	1.638403499
300	1.63795004
301	1.637175635
302	1.636656626
303	1.635472323
304	1.634312514
305	1.633751786
306	1.63332809
307	1.632929976
308	1.631972541
309	1.631348695
310	1.630638529
311	1.629745005
312	1.629104353
313	1.628251441
314	1.627672395
315	1.626896431
316	1.62651177
317	1.626103706
318	1.625259268
319	1.625079994
320	1.624771045
321	1.624371022
322	1.623582409
323	1.623069148
324	1.62234894
325	1.621447468
326	1.620733033
327	1.619512871
328	1.618818287
329	1.618192984
330	1.617477292
331	1.61664346
332	1.615773354
333	1.615292271
334	1.614590285
335	1.613831436
336	1.613477339
337	1.612924943
338	1.612541153
339	1.61167899
340	1.610848334
341	1.610140532
342	1.608990715
343	1.60832148
344	1.607632337
345	1.607324875
346	1.606934498
347	1.606185043
348	1.605209265
349	1.604554177
350	1.603746305
351	1.603220601
352	1.602827473
353	1.602043893
354	1.601239984
355	1.600836063
356	1.600019284
357	1.599420978
358	1.598940875
359	1.598088409
360	1.597392479
361	1.597059373
362	1.596394802
363	1.595753701
364	1.594740263
365	1.594059068
366	1.593430033
367	1.592924163
368	1.592590768
369	1.592321981
370	1.591575164
371	1.590759949
372	1.59052194
373	1.590058568
374	1.589620963
375	1.58897518
376	1.588223945
377	1.587476417
378	1.587079116
379	1.586723234
380	1.586284737
381	1.585536776
382	1.584661791
383	1.584332066
384	1.583560777
385	1.583282629
386	1.582999416
387	1.582430285
388	1.581657551
389	1.581158745
390	1.580243377
391	1.579473466
392	1.579056806
393	1.578361866
394	1.577634497
395	1.576947574
396	1.576741876
397	1.576214242
398	1.5758209
399	1.575278937
400	1.57456993
401	1.573799766
402	1.573414519
403	1.572631281
404	1.572147606
405	1.571753029
406	1.571110328
407	1.570647562
408	1.570118486
409	1.569753294
410	1.56933438
411	1.569113899
412	1.568428805
413	1.567760394
414	1.567397719
415	1.566986942
416	1.566356223
417	1.565793101
418	1.565479863
419	1.56496184
420	1.56446
421	1.564070093
422	1.563708192
423	1.56318099
424	1.562971909
425	1.562562774
426	1.562295421
427	1.561787035
428	1.561087612
429	1.560728855
430	1.56012487
431	1.559543929
432	1.558788701
433	1.558206235
434	1.557702914
435	1.55738647
436	1.557013472
437	1.556590903
438	1.556148384
439	1.555568378
440	1.555216776
441	1.554597836
442	1.553401409
443	1.552746188
444	1.552251156
445	1.551325459
446	1.550542517
447	1.55025354
448	1.549687628
449	1.549230901
450	1.548778172
451	1.548276566
452	1.54731512
453	1.546789452
454	1.546144057
455	1.545551601
456	1.544930017
457	1.544138454
458	1.543577677
459	1.54328724
460	1.542877815
461	1.542394794
462	1.541890725
463	1.541203468
464	1.540388908
465	1.539872251
466	1.539394102
467	1.538993733
468	1.538380368
469	1.538103835
470	1.53758246
471	1.536962648
472	1.536416204
473	1.535916845
474	1.535625747
475	1.535265561
476	1.534737478
477	1.534331273
478	1.533269716
479	1.532895469
480	1.532528348
481	1.531992832
482	1.531718097
483	1.531550365
484	1.531198295
485	1.53086023
486	1.530492683
487	1.530098624
488	1.529685486
489	1.529058505
490	1.528492158
491	1.528262567
492	1.528033395
493	1.527274281
494	1.526652317
495	1.525969875
496	1.525719345
497	1.525395208
498	1.524805465
499	1.524284113
500	1.524013161
501	1.523512318
502	1.522530718
503	1.522174405
504	1.521790343
505	1.521362859
506	1.521069011
507	1.520582057
508	1.519952938
509	1.519693759
510	1.519440245
511	1.518969721
512	1.518484668
513	1.517994366
514	1.517669101
515	1.517298614
516	1.516791801
517	1.516547666
518	1.516186682
519	1.515909971
520	1.515575969
521	1.515388624
522	1.514331189
523	1.513690616
524	1.513206489
525	1.512489186
526	1.511802576
527	1.511411152
528	1.511028233
529	1.510760939
530	1.510180214
531	1.509435352
532	1.508996637
533	1.508381622
534	1.507522824
535	1.507126014
536	1.506455955
537	1.505920197
538	1.505680977
539	1.505200978
540	1.5049234
541	1.504390374
542	1.504151252
543	1.503340339
544	1.503021006
545	1.502783196
546	1.502436948
547	1.502032284
548	1.50123236
549	1.500969573
550	1.500508915
551	1.500249373
552	1.49963454
553	1.499136829
554	1.498819308
555	1.498440374
556	1.498156078
557	1.497934829
558	1.49727777
559	1.497030986
560	1.496695626
561	1.496424219
562	1.496076787
563	1.495677642
564	1.495411853
565	1.495240296
566	1.494784007
567	1.494287122
568	1.49360773
569	1.493112703
570	1.492438298
571	1.492128321
572	1.491819055
573	1.491328854
574	1.490808326
575	1.490458247
576	1.490097156
577	1.489918806
578	1.489595903
579	1.489266717
580	1.488812681
581	1.488549197
582	1.48824495
583	1.487394308
584	1.48714959
585	1.486849085
586	1.486527122
587	1.486178607
588	1.485455597
589	1.484815044
590	1.484604723
591	1.484246248
592	1.48394024
593	1.483609847
594	1.483422746
595	1.482690058
596	1.48227886
597	1.481773479
598	1.481552836
599	1.48086448
600	1.480435634
601	1.480218131
602	1.479793066
603	1.479576275
604	1.479388297
605	1.478864734
606	1.478502325
607	1.478008986
608	1.477788263
609	1.477313336
610	1.476877504
611	1.476438628
612	1.47605545
613	1.475753226
614	1.475456902
615	1.47507357
616	1.474674769
617	1.474490196
618	1.474056502
619	1.473688397
620	1.473254879
621	1.472688015
622	1.472232546
623	1.471764771
624	1.471110626
625	1.470844259
626	1.470437632
627	1.470096312
628	1.469451302
629	1.469131878
630	1.468942667
631	1.46854957
632	1.468234096
633	1.468006193
634	1.467136201
635	1.466574845
636	1.466129691
637	1.465727798
638	1.46539294
639	1.464803503
640	1.464284497
641	1.463984808
642	1.46373933
643	1.463518229
644	1.463026968
645	1.462794879
646	1.46256132
647	1.46209715
648	1.461852583
649	1.461349812
650	1.460953914
651	1.460761819
652	1.460324923
653	1.459465623
654	1.459029896
655	1.458928663
656	1.45815087
657	1.457902531
658	1.457720836
659	1.457504033
660	1.456619349
661	1.456231274
662	1.455866087
663	1.455304478
664	1.454644699
665	1.454252378
666	1.453841039
667	1.453392924
668	1.452894863
669	1.452491431
670	1.45222813
671	1.452058812
672	1.451687558
673	1.451495867
674	1.451142724
675	1.450328988
676	1.449961791
677	1.449750548
678	1.449490633
679	1.449085953
680	1.448845778
681	1.448619468
682	1.448312409
683	1.448037053
684	1.44778373
685	1.447426948
686	1.447293742
687	1.447101509
688	1.446876515
689	1.446612905
690	1.44633002
691	1.445581976
692	1.445377792
693	1.444668083
694	1.444479826
695	1.444267089
696	1.443905887
697	1.44365187
698	1.443176701
699	1.442858933
700	1.442544683
701	1.442247322
702	1.441594954
703	1.441143613
704	1.440895587
705	1.440526562
706	1.440163564
707	1.43992967
708	1.439817195
709	1.43929199
710	1.438865026
711	1.438590654
712	1.437618544
713	1.437487282
714	1.437007217
715	1.436627623
716	1.436341369
717	1.4362259
718	1.435854072
719	1.435581316
720	1.435258538
721	1.435082345
722	1.434811305
723	1.434422958
724	1.434141402
725	1.433687545
726	1.433354274
727	1.433052744
728	1.432820287
729	1.432390506
730	1.43211006
731	1.431870521
732	1.431472337
733	1.43127105
734	1.430956743
735	1.430721097
736	1.43046579
737	1.429761885
738	1.429191271
739	1.428590038
740	1.428232987
741	1.427874199
742	1.427567005
743	1.427204473
744	1.426894419
745	1.426707511
746	1.426353826
747	1.425907065
748	1.425686584
749	1.425259895
750	1.424856179
751	1.424581415
752	1.424201434
753	1.424017771
754	1.423707835
755	1.423404959
756	1.42315462
757	1.42293193
758	1.422608072
759	1.422226861
760	1.42196604
761	1.421481049
762	1.421182567
763	1.42073919
764	1.420502586
765	1.420112561
766	1.419620072
767	1.41935395
768	1.419028089
769	1.418726111
770	1.41851337
771	1.418151491
772	1.417862143
773	1.417319572
774	1.416780357
775	1.416664134
776	1.416395646
777	1.416088346
778	1.415859493
779	1.415614152
780	1.415315279
781	1.415072871
782	1.414826574
783	1.414426201
784	1.414253005
785	1.414078327
786	1.413858948
787	1.413612663
788	1.413404523
789	1.413150294
790	1.412989397
791	1.412606991
792	1.41225241
793	1.411999279
794	1.411578953
795	1.41134329
796	1.41119947
797	1.411021531
798	1.410836019
799	1.410499338
800	1.410094449
801	1.40981315
802	1.409274635
803	1.409076119
804	1.408847758
805	1.40831892
806	1.408020326
807	1.407612391
808	1.407303372
809	1.406969027
810	1.406770785
811	1.405960134
812	1.405571137
813	1.405316943
814	1.405016531
815	1.40462814
816	1.404340536
817	1.404155953
818	1.403858442
819	1.403569509
820	1.403311305
821	1.403102542
822	1.40279102
823	1.402474527
824	1.402226582
825	1.401412879
826	1.401146525
827	1.400922526
828	1.400344992
829	1.399968665
830	1.399710702
831	1.399584558
832	1.398819883
833	1.398157117
834	1.397934843
835	1.397694493
836	1.397558232
837	1.397116885
838	1.396824112
839	1.396394316
840	1.39617045
841	1.395968608
842	1.395727375
843	1.395256161
844	1.394885651
845	1.39441329
846	1.393976817
847	1.393680718
848	1.393429457
849	1.393139741
850	1.392885082
851	1.392659821
852	1.392473603
853	1.391856837
854	1.391641099
855	1.391380606
856	1.391215122
857	1.390751546
858	1.390504254
859	1.390253695
860	1.390028491
861	1.38978078
862	1.389601226
863	1.389329971
864	1.389134028
865	1.388958909
866	1.388517888
867	1.388241475
868	1.38777792
869	1.387453509
870	1.387246599
871	1.387049885
872	1.386749969
873	1.386632118
874	1.386489722
875	1.386095644
876	1.385923437
877	1.385761828
878	1.385504086
879	1.385325714
880	1.385139539
881	1.384926629
882	1.38467064
883	1.384022996
884	1.383473655
885	1.383077487
886	1.382511984
887	1.382165412
888	1.381717045
889	1.381527622
890	1.381360584
891	1.38116417
892	1.380720486
893	1.380496737
894	1.380093894
895	1.379838735
896	1.379569942
897	1.379279335
898	1.378957473
899	1.378581597
900	1.378124339
901	1.377836473
902	1.377512275
903	1.377182135
904	1.376969685
905	1.376629445
906	1.376312126
907	1.375873313
908	1.375678571
909	1.375249606
910	1.375078017
911	1.374923697
912	1.374659173
913	1.374238777
914	1.374085952
915	1.373965769
916	1.373643428
917	1.373409916
918	1.372953889
919	1.372591374
920	1.372369279
921	1.372056018
922	1.371855503
923	1.371103708
924	1.370861411
925	1.370417017
926	1.370169708
927	1.369848674
928	1.36958649
929	1.36909017
930	1.368663218
931	1.368512674
932	1.368189493
933	1.367902279
934	1.367601405
935	1.367230577
936	1.367057006
937	1.366853304
938	1.366660026
939	1.366126896
940	1.36586337
941	1.365802524
942	1.365603372
943	1.365366647
944	1.36500152
945	1.364713192
946	1.364207929
947	1.364113304
948	1.363877067
949	1.363487692
950	1.363392068
951	1.362978657
952	1.362709921
953	1.362310345
954	1.36198026
955	1.361693101
956	1.361336787
957	1.361173882
958	1.361026269
959	1.36078474
960	1.360446599
961	1.360128075
962	1.359982257
963	1.359865519
964	1.359614429
965	1.359248607
966	1.358941569
967	1.358589549
968	1.358394586
969	1.358098462
970	1.357894158
971	1.357702544
972	1.357348221
973	1.357111567
974	1.356841282
975	1.356576676
976	1.356103631
977	1.355853409
978	1.355620458
979	1.355227932
980	1.354840179
981	1.354671233
982	1.354299036
983	1.354077896
984	1.353848529
985	1.353611828
986	1.353288667
987	1.353067568
988	1.352570648
989	1.35230496
990	1.35192122
991	1.351776069
992	1.351251255
993	1.350931895
994	1.350774468
995	1.350552093
996	1.350164448
997	1.34987161
998	1.349763387
999	1.349309235
1000	1.349187704
1001	1.348943865
1002	1.3486788
1003	1.348517051
1004	1.347992756
1005	1.347894469
1006	1.347627197
1007	1.347469273
1008	1.347358791
1009	1.347208143
1010	1.34680795
1011	1.346625883
1012	1.346419829
1013	1.346198691
1014	1.346008279
1015	1.345858613
1016	1.345660322
1017	1.345276166
1018	1.344882173
1019	1.344702635
1020	1.344281673
1021	1.34417387
1022	1.344003051
1023	1.343769522
1024	1.343597566
1025	1.343416534
1026	1.343130428
1027	1.342929129
1028	1.342701961
1029	1.342510654
1030	1.342285336
1031	1.342060931
1032	1.341876427
1033	1.341772259
1034	1.341459698
1035	1.341107318
1036	1.340973285
1037	1.340723478
1038	1.340359618
1039	1.3401607
1040	1.339980288
1041	1.339871188
1042	1.339527557
1043	1.339330003
1044	1.339198032
1045	1.339085217
1046	1.338968196
1047	1.338646828
1048	1.33820078
1049	1.337701229
1050	1.337436337
1051	1.33729383
1052	1.336993612
1053	1.336742133
1054	1.336419552
1055	1.336062438
1056	1.335581312
1057	1.335190103
1058	1.334869144
1059	1.334807303
1060	1.334644992
1061	1.334514832
1062	1.334308401
1063	1.334112109
1064	1.333898424
1065	1.333777932
1066	1.333526838
1067	1.333238805
1068	1.333095892
1069	1.332862726
1070	1.332681768
1071	1.33248391
1072	1.332294045
1073	1.331919659
1074	1.331448191
1075	1.331229715
1076	1.331003862
1077	1.330656777
1078	1.330194601
1079	1.329755774
1080	1.329501509
1081	1.329426523
1082	1.329272091
1083	1.328980751
1084	1.328587391
1085	1.328439093
1086	1.328141512
1087	1.327905366
1088	1.327693826
1089	1.327502944
1090	1.32725605
1091	1.326906361
1092	1.326259551
1093	1.326106182
1094	1.325972711
1095	1.325867559
1096	1.325800547
1097	1.325665133
1098	1.325559456
1099	1.325143267
1100	1.324991884
1101	1.324787935
1102	1.324634294
1103	1.324497313
1104	1.324356846
1105	1.32403626
1106	1.323883209
1107	1.323592279
1108	1.323404291
1109	1.323206736
1110	1.32307115
1111	1.322855491
1112	1.322722393
1113	1.322588226
1114	1.322328648
1115	1.322163842
1116	1.322030272
1117	1.321859405
1118	1.321529777
1119	1.321224412
1120	1.320986464
1121	1.320845765
1122	1.320439582
1123	1.320132029
1124	1.319903776
1125	1.319732695
1126	1.319474093
1127	1.319214197
1128	1.319001428
1129	1.318739597
